fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220521 130501	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	30	TRUE	0.169664147019503	0.481609219573438	1774	520	0.0408006420029172	9042000	1
20220521 130548	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	55	TRUE	0.0957776807424379	0.955905296383426	3672	643	0.0268343506705908	11857000	2
20220521 130624	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	28	TRUE	0.185243558907881	0.643981572678313	2636	823	0.0313019191244772	10957000	3
20220521 130707	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	38	TRUE	0.157832347507705	0.305529836323112	5482	432	0.0373826275080016	10477000	4
20220521 130816	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	134	TRUE	0.0653981569663156	0.724497425919399	4192	718	0.023017924890155	12717000	5
20220521 130853	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	63	TRUE	0.10564531692164	0.692201795680448	7047	407	0.0494636804549373	7534000	6
20220521 130933	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	19	TRUE	0.274884178636479	0.527461514389142	3271	42	0.0198801750394826	12042000	7
20220521 131045	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	25	TRUE	0.148516867771395	0.22611770324409	691	728	0.02799965517479	9919000	8
20220521 131201	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	6	TRUE	0.254977868330083	0.5896021584142	322	342	0.0343424415730018	6888000	9
20220521 131457	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	345	TRUE	0.0162924240452703	0.628274165000767	7288	524	0.0149781098691165	13238000	10
20220521 131522	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	29	TRUE	0.238836721583735	0.788749627387151	6396	811	0.00878811281290837	11283000	11
20220521 131600	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	50	TRUE	0.11632534011174	0.820285053048283	4992	219	0.0306210996141696	11418000	12
20220521 131645	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	47	TRUE	0.129208551356453	0.279593881675974	5637	150	0.0133262709840589	12647000	13
20220521 131724	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	20	TRUE	0.21064154529653	0.398928059265018	3080	952	0.0444412010421123	8909000	14
20220521 131900	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	96	TRUE	0.0491742083641002	0.88306680880487	2066	1007	0.0112735727224693	12905000	15
20220521 131934	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	22	TRUE	0.285611808916554	0.420207212166861	4473	67	0.0475800218007256	8360000	16
20220521 132020	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	71	TRUE	0.0729776381946867	0.871651644650847	6511	905	0.0437354291245962	8524000	17
20220521 132059	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	11	TRUE	0.223206691156956	0.963082350604236	1207	176	0.0183928405264548	11289000	18
20220521 132132	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	32	TRUE	0.26712985932047	0.344125520065427	7775	615	0.0229086908870765	12096000	19
20220521 132447	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	126	TRUE	0.034126012095483	0.474170783841983	978	311	0.0392481365682518	9430000	20
20220521 132832	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	332	TRUE	0.0139038535008731	0.605595113543144	4606	487	0.0163123345861374	13692000	21
20220521 133247	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	603	TRUE	0.0110829650480815	0.702210594049976	5713	231	0.0186537674895579	13264000	22
20220521 185203	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	63	TRUE	0.0655983131497805	0.588414748808954	7977	18	0.0196774717406285	13067000	23
20220521 185825	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	671	TRUE	0.011438262267162	0.622899287704034	5643	319	0.0180764468129674	13563000	24
20220521 190250	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	409	TRUE	0.0104280300789462	0.696908700969819	3822	540	0.0154599531097846	13585000	25
20220521 190946	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	979	TRUE	0.0101254045048315	0.877032537249633	4743	92	0.0159189785153914	12974000	26
20220521 191620	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	416	TRUE	0.0103100441051209	0.494117933226436	3971	874	0.0161160648368073	13752000	27
20220521 192424	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	542	TRUE	0.0100490938802195	0.323508563013128	4956	600	0.017219014724313	13695000	28
20220521 192720	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	211	TRUE	0.0262214502633275	0.622835003587566	4910	738	0.0166642664399175	13476000	29
20220521 193452	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	577	TRUE	0.0100495739678029	0.401426108007529	2941	766	0.0167532262331811	13736000	30
20220521 194215	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	730	TRUE	0.0106937050730404	0.384742909872006	3831	519	0.0173959777580089	13665000	31
