max_depth	min_split	cp	minbucket	ganancia_promedio
6	1700	-1	500	11250000
6	1700	-1	400	12283333
6	1700	-1	300	12283333
6	1700	-0.5	500	11250000
6	1700	-0.5	400	12283333
6	1700	-0.5	300	12283333
6	1500	-1	500	10240000
6	1500	-1	400	12023333
6	1500	-1	300	12010000
6	1500	-0.5	500	10240000
6	1500	-0.5	400	12023333
6	1500	-0.5	300	12010000
6	1300	-1	500	10240000
6	1300	-1	400	12023333
6	1300	-1	300	12010000
6	1300	-0.5	500	10240000
6	1300	-0.5	400	12023333
6	1300	-0.5	300	12010000
6	1100	-1	500	9850000
6	1100	-1	400	11810000
6	1100	-1	300	12256667
6	1100	-0.5	500	9850000
6	1100	-0.5	400	11810000
6	1100	-0.5	300	12256667
6	900	-1	500	9850000
6	900	-1	400	11810000
6	900	-1	300	12400000
6	900	-0.5	500	9850000
6	900	-0.5	400	11810000
6	900	-0.5	300	12400000
7	1700	-1	500	11250000
7	1700	-1	400	12283333
7	1700	-1	300	12283333
7	1700	-0.5	500	11250000
7	1700	-0.5	400	12283333
7	1700	-0.5	300	12283333
7	1500	-1	500	10240000
7	1500	-1	400	12023333
7	1500	-1	300	12010000
7	1500	-0.5	500	10240000
7	1500	-0.5	400	12023333
7	1500	-0.5	300	12010000
7	1300	-1	500	10240000
7	1300	-1	400	12023333
7	1300	-1	300	12010000
7	1300	-0.5	500	10240000
7	1300	-0.5	400	12023333
7	1300	-0.5	300	12010000
7	1100	-1	500	10183333
7	1100	-1	400	11280000
7	1100	-1	300	11506667
7	1100	-0.5	500	10183333
7	1100	-0.5	400	11280000
7	1100	-0.5	300	11506667
7	900	-1	500	10183333
7	900	-1	400	11280000
7	900	-1	300	11650000
7	900	-0.5	500	10183333
7	900	-0.5	400	11280000
7	900	-0.5	300	11650000
