fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220520 205158	-0.38229638178309	4735	291	10	5	9214000	1
20220520 205242	-0.751599324436393	3481	614	5	5	9209000	2
20220520 205341	-0.703111608538893	5461	1286	14	5	8694000	3
20220520 205442	-0.122887571317551	3588	1432	19	5	8968000	4
20220520 205536	-0.474160609916726	7260	1713	12	5	8101000	5
20220520 205616	-0.522743278898997	1976	446	4	5	9356000	6
20220520 205645	0.0694557524213453	6260	1174	10	5	0	7
20220520 205803	-0.867704745335504	2847	198	13	5	9139000	8
20220520 205854	-0.855650335097744	5664	1094	8	5	8797000	9
20220520 205959	-0.209147621401644	4472	3	9	5	8671000	10
20220520 210052	-0.0573340243499841	7614	1901	18	5	8101000	11
20220520 210151	-0.984939055080758	6788	647	20	5	8483000	12
20220520 210245	-0.0515084225859027	6983	1434	11	5	8200000	13
20220520 210331	-0.575256243569311	2076	47	5	5	9656000	14
20220520 210439	-0.856924149999395	5175	1962	13	5	8454000	15
20220520 210533	-0.376764302095398	6153	1990	20	5	8454000	16
20220520 210607	-0.647326503646481	719	219	3	5	8622000	17
20220520 210809	-0.555639693252098	3697	4	20	5	9131000	18
20220520 210842	-0.134412368767432	7998	1262	3	5	8195000	19
20220520 210912	-0.574879705498203	7589	2	3	5	7933000	20
20220520 211035	-0.560204969168521	20	4	11	5	9052000	21
20220520 211127	-0.579029114549844	2763	1379	6	5	9078000	22
20220520 211200	-0.438305594975992	1900	22	3	5	8533000	23
20220520 211357	-0.79389114254753	4248	3	20	5	8320000	24
20220520 211540	-0.312757757781754	2819	23	18	5	9333000	25
20220520 211612	-0.316151985964352	3636	1037	3	5	8367000	26
20220520 211645	-0.930632709130932	1068	533	3	5	8622000	27
20220520 211855	-0.364150080228781	10	2	20	5	5573000	28
20220520 212029	-0.300228709779291	6938	2	18	5	8403000	29
20220520 212143	-0.258464896032978	2601	319	20	5	9608000	30
20220520 212312	-0.27741920711283	3009	1	13	5	10038000	31
20220520 212431	-0.0970203240659806	769	3	11	5	9643000	32
20220520 212614	-0.095166600451975	4670	3	18	5	8474000	33
20220520 212646	-0.0902288382876207	1996	996	3	5	8367000	34
20220520 212823	-0.14990168977702	23	6	14	5	6670000	35
20220520 212853	-0.40420652851241	7998	436	3	5	8195000	36
20220520 213029	-0.277536139055485	6	1	14	5	9894000	37
20220520 213100	-0.265449844626786	1754	22	3	5	8533000	38
20220520 213221	-0.282860003559297	2190	255	20	5	9447000	39
20220520 213321	-0.259388256112688	3140	1566	14	5	8568000	40
20220520 213445	-0.0619318884291272	109	26	12	5	5795000	41
20220520 213528	-0.108420986285972	96	23	5	5	9416000	42
20220520 213700	-0.583508421061765	375	177	20	5	8e+06	43
20220520 213852	-0.273051008101128	5509	2	20	5	8423000	44
20220520 214015	-0.293806480405983	1879	4	11	5	9739000	45
20220520 214044	-0.553522408322595	2384	615	3	5	8641000	46
20220520 214216	-0.243567962665572	1657	16	15	5	8954000	47
20220520 214402	-0.5143939431747	3012	5	20	5	9335000	48
20220520 214448	-0.495342999049698	379	1	6	5	8626000	49
20220520 214627	-0.726053119345974	136	10	11	5	8124000	50
20220520 214726	-0.752626671695247	8000	1854	11	5	8195000	51
20220520 214841	-0.899986105203384	6495	291	13	5	8634000	52
20220520 214944	-0.524775067559234	3560	1764	18	5	8376000	53
20220520 215013	-0.60515148651834	2290	1	3	5	7761000	54
