fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220525 115805	1087	8	218	23	5	11257000	1
20220525 153817	2163	14	249	43	5	11023000	2
20220525 164036	653	18	252	35	5	10527000	3
20220525 190732	631	15	336	14	5	11675000	4
20220525 201115	1009	11	401	21	5	11623000	5
20220526 081457	631	15	336	14	5	11675000	6
20220526 090426	1009	11	401	21	5	11623000	7
20220526 105508	1314	12	440	36	5	11160000	8
20220526 131503	1883	20	427	28	5	10972000	9
20220526 153727	1247	23	168	41	5	9345000	10
20220526 164039	1486	7	199	30	5	11406000	11
20220526 195331	2008	19	63	25	5	9838000	12
20220526 205858	371	17	73	46	5	9544000	13
20220526 213353	904	9	500	18	5	11525000	14
