fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220529 201520	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	30	TRUE	999983	0.169664147019503	0.481609219573438	1774	520	0.0408006420029172	9042000	1
20220529 201533	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	55	TRUE	999983	0.0957776807424379	0.955905296383426	3672	643	0.0268343506705908	11857000	2
20220529 201544	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	28	TRUE	999983	0.185243558907881	0.643981572678313	2636	823	0.0313019191244772	10957000	3
20220529 201555	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	38	TRUE	999983	0.157832347507705	0.305529836323112	5482	432	0.0373826275080016	10477000	4
20220529 201615	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	134	TRUE	999983	0.0653981569663156	0.724497425919399	4192	718	0.023017924890155	12717000	5
20220529 201626	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	63	TRUE	999983	0.10564531692164	0.692201795680448	7047	407	0.0494636804549373	7534000	6
20220529 201637	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	19	TRUE	999983	0.274884178636479	0.527461514389142	3271	42	0.0198801750394826	12042000	7
20220529 201651	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	25	TRUE	999983	0.148516867771395	0.22611770324409	691	728	0.02799965517479	9919000	8
20220529 201706	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	6	TRUE	999983	0.254977868330083	0.5896021584142	322	342	0.0343424415730018	6888000	9
20220529 201752	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	345	TRUE	999983	0.0162924240452703	0.628274165000767	7288	524	0.0149781098691165	13238000	10
20220529 201800	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	29	TRUE	999983	0.238836721583735	0.788749627387151	6396	811	0.00878811281290837	11283000	11
20220529 201811	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	50	TRUE	999983	0.11632534011174	0.820285053048283	4992	219	0.0306210996141696	11418000	12
20220529 201823	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	47	TRUE	999983	0.129208551356453	0.279593881675974	5637	150	0.0133262709840589	12647000	13
20220529 201834	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	20	TRUE	999983	0.21064154529653	0.398928059265018	3080	952	0.0444412010421123	8909000	14
20220529 201857	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	96	TRUE	999983	0.0491742083641002	0.88306680880487	2066	1007	0.0112735727224693	12905000	15
20220529 201907	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	22	TRUE	999983	0.285611808916554	0.420207212166861	4473	67	0.0475800218007256	8360000	16
20220529 201920	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	71	TRUE	999983	0.0729776381946867	0.871651644650847	6511	905	0.0437354291245962	8524000	17
20220529 201930	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	11	TRUE	999983	0.223206691156956	0.963082350604236	1207	176	0.0183928405264548	11289000	18
20220529 201940	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	32	TRUE	999983	0.26712985932047	0.344125520065427	7775	615	0.0229086908870765	12096000	19
20220529 202023	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	126	TRUE	999983	0.034126012095483	0.474170783841983	978	311	0.0392481365682518	9430000	20
20220529 202121	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	332	TRUE	999983	0.0139038535008731	0.605595113543144	4606	487	0.0163123345861374	13692000	21
20220529 202229	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	603	TRUE	999983	0.0110829650480815	0.702210594049976	5713	231	0.0186537674895579	13264000	22
20220529 202409	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	526	TRUE	999983	0.0101928057575722	0.42985719627614	4056	866	0.0156593004749258	13712000	23
20220529 202532	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	338	TRUE	999983	0.0105451274725465	0.41116740261927	3119	596	0.0156976724145912	13641000	24
20220529 202722	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	818	TRUE	999983	0.0107625374899004	0.624847719995002	3349	870	0.0160568183819994	13685000	25
20220529 202915	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	544	TRUE	999983	0.0101113840347163	0.574595254083816	4053	701	0.0146758739596247	13627000	26
20220529 203106	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	698	TRUE	999983	0.0101520129397829	0.361312515582152	5336	625	0.0171615099055628	13593000	27
20220529 203125	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	73	TRUE	999983	0.0886416765060485	0.401560924455081	3399	874	0.016293567502504	13939000	28
20220529 203139	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	26	TRUE	999983	0.133498703396651	0.459533771458682	3053	1024	0.0158492072122861	12762000	29
20220529 203156	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	49	TRUE	999983	0.0800811903018814	0.462515521630944	4087	584	0.0167037744433784	13234000	30
20220529 203223	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	183	TRUE	999983	0.0580468858158126	0.200434805363025	3217	913	0.0152359510659058	13110000	31
20220529 203241	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	71	TRUE	999983	0.0933335169585528	0.568505737849104	5152	1023	0.0161766910992673	13512000	32
20220529 203258	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	51	TRUE	999983	0.0901086646294239	0.593834391276987	2454	1018	0.0165627486069279	13424000	33
20220529 203316	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	66	TRUE	999983	0.095555103868294	0.381755881986647	3499	886	0.0103917510180134	12645000	34
20220529 203332	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	47	TRUE	999983	0.0967550075132696	0.330494950403597	4043	908	0.0190147565786732	12985000	35
20220529 203411	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	323	TRUE	999983	0.0239253224938866	0.998434315448697	4829	794	0.0161436512275393	13087000	36
20220529 203535	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	371	TRUE	999983	0.010049221425845	0.554187782026194	5488	810	0.0236400146883376	12436000	37
20220529 203718	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	568	TRUE	999983	0.0103116990178513	0.534328080822098	5108	24	0.0156140207492593	13805000	38
