fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220529 215429	0	0	0	1	auto	depthwise	256	0	1	0.201879855228704	0.98243064424023	7	16	0.0295196655604135	13	9428000	1
20220529 220019	0	0	0	1	auto	depthwise	256	0	1	0.11025093529385	0.510407257964835	6	19	0.0337195342333871	28	8736000	2
20220529 221046	0	0	0	1	auto	depthwise	256	0	1	0.0754124600877985	0.756551231937483	7	28	0.0123605325463965	21	13272000	3
20220529 221227	0	0	0	1	auto	depthwise	256	0	1	0.0899409578553168	0.310463919332251	2	3	0.0316702896646651	80	11281000	4
20220529 221804	0	0	0	1	auto	depthwise	256	0	1	0.130557458917494	0.651863701567054	5	10	0.0204513961589934	52	11151000	5
20220529 222207	0	0	0	1	auto	depthwise	256	0	1	0.252197538565728	0.702466595312581	10	21	0.0466003749660255	9	7077000	6
20220529 222418	0	0	0	1	auto	depthwise	256	0	1	0.174907665413455	0.277792708342895	6	12	0.0144180860200625	16	11855000	7
20220529 223309	0	0	0	1	auto	depthwise	256	0	1	0.0538579918181058	0.857229101425037	0	7	0.0283468869752445	72	8852000	8
20220529 225233	0	0	0	1	auto	depthwise	256	0	1	0.0426218624394387	0.770472847986966	4	25	0.0356285335806509	80	8749000	9
20220529 225743	0	0	0	1	auto	depthwise	256	0	1	0.292559072299511	0.835951222693548	2	18	0.0396709086936122	3	7531000	10
20220529 230144	0	0	0	1	auto	depthwise	256	0	1	0.186127971414127	0.624239445934072	0	23	0.0225575216133924	2	4252000	11
20220529 230300	0	0	0	1	auto	depthwise	256	0	1	0.263434253819752	0.365081787146628	8	5	0.0424534013407538	17	7686000	12
20220529 230816	0	0	0	1	auto	depthwise	256	0	1	0.0355330462575657	0.414358320496976	1	7	0.0146155450143851	42	13133000	13
20220529 234723	0	0	0	1	auto	depthwise	256	0	1	0.0106388408982893	0.526880226805806	9	14	0.0248005481514459	520	12133000	14
20220529 235133	0	0	0	1	auto	depthwise	256	0	1	0.213926273383084	0.465072667719796	3	26	0.0488029838631822	9	5418000	15
20220529 235859	0	0	0	1	auto	depthwise	256	0	1	0.147070265056449	0.946548173604533	10	30	0.0449184522362581	21	8315000	16
