Feature	Gain	Cover	Frequency
mtarjeta_visa_consumo	0.0868150032739374	0.0208776645099894	0.0249974282481226
mpayroll	0.0657997558711742	0.0286969032998051	0.00936117683365909
mpasivos_margen	0.0466095652869453	0.0194956040016671	0.0262318691492645
cpayroll_trx	0.043696989572376	0.0164050347272054	0.00411480300380619
ctrx_quarter	0.0388266899924493	0.0208979812721209	0.0246888180228372
mcaja_ahorro	0.0382907824313151	0.0175737414296653	0.0283921407262627
mactivos_margen	0.03132363148119	0.0248157445594881	0.0273634399753112
mcuentas_saldo	0.0297061494974554	0.0252320334484576	0.0281864005760724
Visa_msaldototal	0.0284995645258438	0.0148661979700688	0.0165620820903199
ctarjeta_visa_trx	0.0264975720536959	0.0175526360596979	0.0191338339676988
mrentabilidad_annual	0.0246655920361794	0.0217939054910329	0.0267462195247403
mcuenta_corriente	0.0211121136698782	0.0123582430654554	0.0189280938175085
Master_fechaalta	0.0205010001566086	0.0276113846136767	0.0333299043308302
active_quarter	0.0202777348283067	0.000376600683073909	0.000720090525666084
cliente_edad	0.0197111564735361	0.0237514778435017	0.0290093611768337
ccomisiones_mantenimiento	0.0175933311445717	0.017371675837249	0.00833247608270754
Visa_fechaalta	0.0159176433169574	0.0130301976037908	0.0231457668964098
mrentabilidad	0.015479302693561	0.0135786743536654	0.021294105544697
Master_Fvencimiento	0.0152978231202566	0.0181010167611822	0.023248636971505
cliente_antiguedad	0.0145015392280389	0.0144909015230312	0.021911325995268
Visa_Fvencimiento	0.0144453886472303	0.0141993390515962	0.0235572471967905
mprestamos_personales	0.0135278398892394	0.0215854400427175	0.00586359428042383
numero_de_cliente	0.0129495357408982	0.0123508625049398	0.0225285464458389
mcomisiones	0.0123666132432498	0.0139389114241442	0.0207797551692213
Visa_mconsumospesos	0.0118778133543039	0.0112443344972342	0.0202654047937455
mcomisiones_otras	0.0115726538268162	0.0104030618123864	0.0180022631416521
mcaja_ahorro_dolares	0.0114209062434884	0.016668348861544	0.0191338339676988
mtransferencias_recibidas	0.0109795532855696	0.0102976512316533	0.0175907828412715
Visa_mfinanciacion_limite	0.0108613438164354	0.0112879455215957	0.0171793025408909
Master_mfinanciacion_limite	0.0106191625752802	0.010343936445407	0.0168706923156054
Visa_msaldopesos	0.0101535600704191	0.0165689135017214	0.0247916880979323
cproductos	0.00950843784771749	0.00757992158750963	0.00874395638308816
Visa_mpagospesos	0.00931076144124087	0.00896441869183771	0.0176936529163666
chomebanking_trx	0.00923335740131932	0.0106241298205411	0.0144018105133217
Visa_mpagominimo	0.00916870448430697	0.00950196614593509	0.0141960703631314
Master_mlimitecompra	0.00904080339384298	0.0125108690127743	0.0154305112642732
cprestamos_personales	0.00889434047731214	0.00688120493453761	0.00339471247814011
ctarjeta_debito_trx	0.00883197574904922	0.0083121439631509	0.0105956177348009
Visa_cconsumos	0.0084399166690281	0.00951916386297203	0.0135788499125604
mcomisiones_mantenimiento	0.00823468315988668	0.0169436589343095	0.00936117683365909
mtransferencias_emitidas	0.00775772355800166	0.0127996713567837	0.0133731097623701
cpagomiscuentas	0.00753330694167563	0.0078358652716895	0.00699516510647053
ccomisiones_otras	0.00706921406817356	0.0129075134783442	0.0112128381853719
thomebanking	0.00633788806793077	0.00292834859847251	0.0031889723279498
Visa_mlimitecompra	0.00589472604855928	0.00840343543051421	0.00977265713403971
mtarjeta_visa_debitos_automaticos	0.00577757603643076	0.00736455076545158	0.0108013578849913
mautoservicio	0.00576030835130946	0.0171183861217477	0.0168706923156054
ctransferencias_emitidas	0.00541922295481302	0.0131024967657727	0.00771525563213661
Master_mpagominimo	0.00532090671260528	0.00571276615653479	0.00576072420532867
mpagomiscuentas	0.00516837714245569	0.00964030615899586	0.0103898775846106
ctransferencias_recibidas	0.00515075123051065	0.0148980910908172	0.00843534615780269
Visa_mconsumototal	0.00502208494279069	0.00753612352154609	0.00987552720913486
mcuenta_debitos_automaticos	0.00484318194931481	0.0104746330286736	0.0103898775846106
Visa_mpagado	0.00451487812708977	0.0106440826098252	0.00792099578232692
Master_status	0.00396269371891954	0.0102465686535644	0.00185166135171279
matm	0.00387460774031513	0.0036388438171988	0.00401193292871104
Master_mpagospesos	0.00382581556013491	0.0152998766728559	0.00792099578232692
Master_msaldopesos	0.00378785063096952	0.00631213338771762	0.00596646435551898
ctarjeta_visa_debitos_automaticos	0.00360313552883319	0.00634777745086501	0.00668655488118506
ccallcenter_trx	0.0034693790813784	0.00445002302482122	0.00216027157699825
ccuenta_debitos_automaticos	0.00343827543340839	0.00742623405271926	0.00802386585742208
ccaja_ahorro	0.00311927143451783	0.00965353556096107	0.0031889723279498
Master_msaldototal	0.00300325798258924	0.00360610648165172	0.00473202345437712
ctarjeta_debito	0.00291158299056176	0.00418743178099891	0.00504063367966259
mdescubierto_preacordado	0.00290555045428462	0.00506002635143194	0.00154305112642732
cextraccion_autoservicio	0.00282677585809674	0.00470715973111182	0.00596646435551898
